,time_per_10_min,avg_close,avg_open
0,1,1.25,10.3
1,2,1.22,16.5
2,3,3.0,15.8
3,4,5.1,17.5
4,5,4.2,15.8
5,6,7.1,17.0
6,7,9.8,17.3
7,8,8.9,14.9
8,9,10.7,18.2
9,10,12.6,16.0
10,11,15.1,16.3
11,12,15.7,16.1
12,13,15.5,17.4
13,14,16.5,17.7
14,15,16.4,15.7
15,16,17.6,17.1
16,17,16.7,15.7
17,18,17.3,17.7
18,19,16.3,16.6
19,20,15.9,16.8
20,21,15.6,16.9
21,22,16.3,16.4
22,23,15.6,16.3
23,24,15.9,16.7
24,25,19.8,16.1
25,26,16.2,17.8
26,27,17.5,16.0
27,28,17.9,17.7
28,29,16.1,15.5
29,30,15.1,18.0
30,31,16.8,15.8
31,32,16.5,17.2
32,33,16.3,16.0
33,34,15.6,17.0
34,35,16.1,16.2
35,36,17.1,17.1
36,37,17.6,17.0
37,38,15.5,16.2
38,39,17.0,16.4
39,40,17.3,17.1
40,41,17.2,16.4
41,42,15.4,16.5
42,43,15.5,16.8
43,44,18.7,16.5
44,45,16.4,17.1
45,46,16.8,16.3
46,47,17.5,16.8
47,48,15.2,16.4
48,49,16.9,16.7
49,50,19.8,16.7
50,51,17.5,16.3
51,52,16.4,17.7
52,53,15.4,16.9
53,54,18.6,16.0
54,55,16.1,16.0
55,56,15.4,17.2
56,57,17.7,16.7
57,58,15.6,16.5
58,59,15.6,16.7
59,60,14.4,17.5
60,61,17.5,16.2
61,62,15.5,16.0
62,63,16.5,17.1
63,64,18.1,17.4
64,65,18.0,16.2
65,66,17.9,16.1
66,67,16.6,17.7
67,68,17.4,15.5
68,69,17.1,17.9
69,70,17.5,16.0
70,71,17.6,16.0
71,72,14.9,17.8
72,73,16.5,16.1
73,74,14.1,15.9
74,75,18.7,17.1
75,76,16.5,17.3
76,77,16.5,15.7
77,78,15.9,17.4
78,79,15.6,16.8
79,80,16.5,16.3
80,81,16.9,16.6
81,82,16.2,16.9
82,83,18.4,16.6
83,84,14.7,16.2
84,85,17.0,17.0
85,86,15.5,17.5
86,87,16.9,16.8
87,88,18.3,15.8
88,89,18.5,17.4
89,90,17.2,16.8
90,91,15.1,17.3
91,92,18.1,15.8
92,93,17.0,15.9
93,94,15.8,17.5
94,95,15.2,15.6
95,96,17.8,16.5
96,97,16.2,16.7
97,98,17.5,17.5
98,99,18.5,17.3
99,100,18.0,14.9
100,101,13.4,17.9
101,102,14.6,16.2
102,103,16.1,15.9
103,104,16.0,17.3
104,105,18.2,16.4
105,106,17.1,16.5
106,107,16.4,16.5
107,108,17.2,17.3
108,109,16.4,17.3
109,110,16.4,15.6
110,111,16.8,18.0
111,112,18.6,15.7
112,113,17.1,16.7
113,114,15.1,16.6
114,115,17.0,17.7
115,116,17.6,16.4
116,117,16.9,16.3
117,118,15.8,15.5
118,119,17.9,18.8
119,120,16.9,14.9
120,121,18.7,17.0
121,122,16.4,17.7
122,123,16.3,15.4
123,124,17.0,18.0
124,125,15.0,16.6
125,126,14.8,15.7
126,127,16.7,16.6
127,128,15.4,16.9
128,129,17.5,16.3
129,130,17.1,16.8
130,131,15.1,16.3
131,132,18.4,17.0
132,133,15.6,17.1
133,134,16.6,17.4
134,135,15.9,14.7
135,136,17.3,18.0
136,137,17.5,16.6
137,138,18.4,16.1
138,139,16.3,18.0
139,140,15.8,14.6
140,141,16.9,17.6
141,142,16.7,16.1
142,143,17.9,18.4
143,144,16.0,16.6
144,145,14.0,15.6
145,146,15.7,16.6
146,147,16.2,17.4
147,148,16.0,16.4
148,149,16.3,16.9
149,150,17.4,16.8
150,151,18.4,16.8
151,152,18.3,16.4
152,153,16.4,15.9
153,154,19.1,16.9
154,155,17.7,16.6
155,156,13.1,16.5
156,157,16.9,17.3
157,158,15.5,16.5
158,159,16.0,16.3
159,160,15.0,17.7
160,161,15.4,15.3
161,162,16.8,16.8
162,163,18.4,16.6
163,164,17.8,17.7
164,165,17.7,16.8
165,166,15.9,16.8
166,167,18.3,15.4
167,168,16.5,17.3
168,169,17.6,16.4
169,170,15.3,16.5
170,171,17.5,17.7
171,172,17.4,15.7
172,173,16.3,16.2
173,174,14.6,16.8
174,175,16.2,18.0
175,176,18.3,15.3
176,177,17.1,18.2
177,178,18.2,16.3
178,179,17.9,16.2
179,180,15.1,16.6
180,181,15.3,16.4
181,182,16.7,16.9
182,183,15.9,16.7
183,184,16.3,15.9
184,185,16.1,17.9
185,186,16.9,17.3
186,187,17.1,16.4
187,188,17.6,15.5
